0,"The McAfee Internet Security Suite has some great features beyond just virus scanning.  It has anti-phishing and anti-spyware protection.  It also has firewall and system backup/restore software included.  One thing I've found useful is when someone sends you a link via instant messaging programs, you can scan the link as well.  I'm always skeptical to click on links and this is a good feature.  You can also prevent security scans screens from taking over your computer when you are working in full screen.  They will run in the background.  It does slow down your computer a little bit, but has not been unbearable.

You can install on up to three computers in your home - for a very good price.  We only installed on one PC as we don't use the other one and the third is a Mac.  If you need help from the McAfee folks, you will need to ""chat"" with them online (free), unless you want to pay for telephone support.  This would be a downside for many... I would rate it 3 stars as-is and 4 stars if it would have included free telephone support."

0.5,"Family Tree Maker (FTM) for Mac 3 package includes main software (computer program) in the box and 3-mo membership to Ancestry valued now at $60 ($19.99/mo) making the software alone inexpensive. The program is well designed and easy to use for its very intuitive interface (screen layout). It provides full access to Ancestry's database over the Internet thus necessary to have provided. Unlike FTM for Mac 2, this Mac version 3 has as many features as its PC (MS Windows) equivalent package, which is by far the best of its kind on the market, and set the standard in the field.  Finally, the Mac users are not disadvantaged... much."

1,"I'm no professional photographer but I love taking pics and scrapbooking, so this helps a lot!  I was using shutterfly but that takes forever to upload the pics and you can't do everything you can with this."

0.5,"It is hard for me to review this, since I thought I was getting the Standard version of Office, and expecting fun things like the Ebook Editor which I knew I would use a lot.  Instead I received the Home and Student Edition.  That instead is a bare bones version of Office.

WHAT YOU GET
Word Perfect (works like previous version except perhaps a little faster)
Quattro Pro (works like previous version)
Presentations
Word Perfect Lightning digital notebook

You also get fonts, dictionary, digital photos, templates, graphics, basic graphics editor, batch conversion from Word files, and training videos.

IS IT WORTH IT?
Yes, this program works well for the price, although honestly, if you can afford the upgrade price of the Standard version or others, I would go for that instead.  I really wanted the Ebook Editor, PDF creator, and some of the other cool features of the Standard version which is what I thought I had requested.

The program works well and seems to be a tiny bit faster than the previous X6 version.  I am using this with Windows 7 64-bit.

This is great for general home use and student use who need basics which are a cut above super basic.  It is a solid program so far, and despite my disappointment in the version I received, I still think it is decent for what you get.

I will edit this review as I continue to use the program if there are any other important points that I want to make if I find differences in the program from version X6.  As it stands now from the time I have used it and played with it, it is quite similar to the previous version of this edition of Office, which I did use with very few problems.  I got files to convert pretty easily from Word, and was able to save them in the proper file form as well, that others could read with Word.

I am giving this four stars, because I think that they should have added a simple Ebook editor and PDF capabilities to this edition like they have in the Standard.  Many academic software versions come with the same as professional programs with a few small things left out sometimes just for a more reasonable price.  I think they cut this one back a bit too far, but it still is decent for student use, but the price is a bit high, in my opinion for what you get (compared to the upgrade edition for standard."

1,Good.

